"image","caption","entities","relations"
"3657.png","A diagram showing the human heart with labeled parts and blood flow pathways.","aorta (to body); aortic valve; bicuspid valve; left atrium; pulmonary valve; left pulmonary veins (from lungs); pulmonary artery (to lungs); superior vena cava; right pulmonary veins (from lungs); septum; right atrium; tricuspid valve; right ventricle; inferior vena cavae; pass my exams; left ventricle; image of Aorta","aorta (to body) → image of Aorta; aortic valve → image of Aorta; bicuspid valve → image of Aorta; left atrium → image of Aorta; pulmonary valve → image of Aorta; left pulmonary veins (from lungs) → image of Aorta; pulmonary artery (to lungs) → image of Aorta; superior vena cava → image of Aorta; right pulmonary veins (from lungs) → image of Aorta; septum → image of Aorta; right atrium → image of Aorta; tricuspid valve → image of Aorta; right ventricle → image of Aorta; inferior vena cavae → image of Aorta; pass my exams → I0; left ventricle → image of Aorta"
"3658.png","A diagram showing the anatomy of a mammal and bird heart. The image has a title: mammal and bird heart.","right ventricle; superior vena cava; pulmonary artery; left atrium; bicuspid mitral valve; left ventricle; aortic semilunar valve; pulmonary semilunar valve; right atrium; tricuspid valve; inferior vena cava; mammal and bird heart; aorta; pulmonary veins; image of Title","right ventricle → image of Title; superior vena cava → image of Title; pulmonary artery → image of Title; left atrium → image of Title; bicuspid mitral valve → image of Title; left ventricle → image of Title; aortic semilunar valve → image of Title; pulmonary semilunar valve → image of Title; right atrium → image of Title; tricuspid valve → image of Title; inferior vena cava → image of Title; aorta → image of Title; pulmonary veins → image of Title; pulmonary veins → image of Title"
"3659.png","A diagram showing the human heart with labeled parts and blood flow direction.","aorta; right atrium; left atrium; left ventricle; right ventricle; image of Heart","aorta → image of Heart; aorta → image of Heart; aorta → image of Heart; right atrium → image of Heart; left atrium → image of Heart; left ventricle → image of Heart; right ventricle → image of Heart"
"3660.png","A diagram showing the human heart with labeled parts","left ventricle; aorta; right ventricle; left atrium; ant v.c; right atrium; post v.c; image of Heart diagram","left ventricle → image of Heart diagram; aorta → image of Heart diagram; right ventricle → image of Heart diagram; left atrium → image of Heart diagram; ant v.c → image of Heart diagram; right atrium → image of Heart diagram; post v.c → image of Heart diagram"
"3661.png","A diagram showing the human heart and its components","tricuspid valve; inferior vena cava; right ventricle; right atrium; pulmonary valve; superior vena cava; aorta; pulmonary artery; pulmonary vein; left atrium; mitral valve; aortic valve; left ventricle; image of Diagram","tricuspid valve → image of Diagram; inferior vena cava → image of Diagram; right ventricle → image of Diagram; right ventricle → image of Diagram; right atrium → image of Diagram; pulmonary valve → image of Diagram; superior vena cava → image of Diagram; aorta → image of Diagram; aorta → image of Diagram; aorta → image of Diagram; pulmonary artery → image of Diagram; pulmonary artery → image of Diagram; pulmonary vein → image of Diagram; left atrium → image of Diagram; left atrium → image of Diagram; mitral valve → image of Diagram; aortic valve → image of Diagram; left ventricle → image of Diagram"
"3662.png","A diagram showing the human heart and its components","left ventricle; right ventricle; tricuspid valve; inferior vena cava; aortic valve; superior vena cava; aorta; pulmonary artery; pulmonary vein; mitral valve; left atrium; right atrium; pulmonary valve; image of Heart","left ventricle → image of Heart; right ventricle → image of Heart; tricuspid valve → image of Heart; inferior vena cava → image of Heart; aortic valve → image of Heart; superior vena cava → image of Heart; aorta → image of Heart; pulmonary artery → image of Heart; pulmonary vein → image of Heart; mitral valve → image of Heart; left atrium → image of Heart; right atrium → image of Heart; pulmonary valve → image of Heart"
"3663.png","A diagram showing the human heart with blood flow directions and chamber structure.","4; 3; 2; 1; 9; 8; 7; 6; 5; image of Heart","4 → image of Heart; 3 → image of Heart; 2 → image of Heart; 1 → image of Heart; 9 → image of Heart; 8 → image of Heart; 7 → image of Heart; 6 → image of Heart; 5 → image of Heart"
"3664.png","A diagram showing the electrical conduction system of the heart","right bundle; bachmann's bundle; his bundle; purkinje fibres; sinoatrial node; atrioventricular node; left posterior bundle; image of Heart diagram","right bundle → image of Heart diagram; bachmann's bundle → image of Heart diagram; his bundle → image of Heart diagram; purkinje fibres → image of Heart diagram; sinoatrial node → image of Heart diagram; atrioventricular node → image of Heart diagram; left posterior bundle → image of Heart diagram"
"3665.png","A diagram showing the internal structure of a human heart with labeled parts.","partition between chambers; atria; ventricles; image of Heart","partition between chambers → image of Heart; atria → image of Heart; ventricles → image of Heart"
"3666.png","A diagram showing a cross-section of human skin with its components","hair shaft; pore of sweat gland; epidermis; dermis; fat layer; sweat gland; capillary; hair follicle; hair erector muscle; sebaceous gland; image of Skin cross-section","hair shaft → image of Skin cross-section; pore of sweat gland → image of Skin cross-section; epidermis → image of Skin cross-section; dermis → image of Skin cross-section; fat layer → image of Skin cross-section; sweat gland → image of Skin cross-section; capillary → image of Skin cross-section; hair follicle → image of Skin cross-section; hair erector muscle → image of Skin cross-section; sebaceous gland → image of Skin cross-section"
"3667.png","A diagram showing the anatomy of a heart","aorta; pulmonary artery; coronary artery and vein; left atrium; pulmonary vein; left ventricle; caudal vena cava; right ventricle; right atrium; cranial vena cava; image of Aorta","aorta → image of Aorta; pulmonary artery → image of Aorta; coronary artery and vein → image of Aorta; left atrium → image of Aorta; pulmonary vein → image of Aorta; left ventricle → image of Aorta; caudal vena cava → image of Aorta; right ventricle → image of Aorta; right atrium → image of Aorta; cranial vena cava → image of Aorta"
"3668.png","A diagram showing a cross section of a normal heart with labeled parts.Titled as cross section of a normal heart.","aorta (main artery taking blood to the body); pulmonary veins bring blood into the heart from the lungs; superior vena cava (main vein which brings blood into the heart from the head and neck); pulmonary valve; right atrium; tricuspid valve; inferior vena cava (main vein which brings blood into the heart from the body); right ventricle; pulmonary artery which takes blood to the lungs; left atrium; aortic valve; septum (wall of muscle between the ventricles); mitral valve; left ventricle; myocardium (heart muscle); cross section of a normal heart; image of Aorta","aorta (main artery taking blood to the body) → image of Aorta; pulmonary veins bring blood into the heart from the lungs → image of Aorta; pulmonary veins bring blood into the heart from the lungs → image of Aorta; superior vena cava (main vein which brings blood into the heart from the head and neck) → image of Aorta; pulmonary valve → image of Aorta; right atrium → image of Aorta; tricuspid valve → image of Aorta; inferior vena cava (main vein which brings blood into the heart from the body) → image of Aorta; right ventricle → image of Aorta; pulmonary artery which takes blood to the lungs → image of Aorta; left atrium → image of Aorta; aortic valve → image of Aorta; septum (wall of muscle between the ventricles) → image of Aorta; mitral valve → image of Aorta; left ventricle → image of Aorta; myocardium (heart muscle) → image of Aorta"
